id,source,dest
1,9,5
2,5,9
3,9,10
4,10,9
5,10,6
6,6,10
7,5,6
8,6,5
9,6,7
10,7,6
11,7,11
12,11,7
21,10,11
22,11,10
23,8,12
24,15,14
25,14,13
26,4,8
27,5,1
28,1,5
29,1,2
30,2,1
31,2,3
32,3,2
33,3,7
34,7,3
35,2,6
36,6,2
37,3,4
38,4,3
39,4,13
40,13,4
41,7,8
42,8,14
43,15,12
44,12,11
