vehicle_id,avl_timestamp,start_date,route_id,trip_id,stop_id,current_status,current_stop_seq,latitude,longitude,speed,bearing
5061,2024-11-01 16:34:46-05,2024-11-01,803,2811880_13111,4573,IN_TRANSIT_TO,5,30.37385,-97.726425,7.64,192.2
5061,2024-11-01 16:34:56-05,2024-11-01,803,2811880_13111,4573,IN_TRANSIT_TO,5,30.372896,-97.72665,11.85,191.5
5061,2024-11-01 16:35:11-05,2024-11-01,803,2811880_13111,4573,STOPPED_AT,5,30.371525,-97.726906,7.47,189.7
5061,2024-11-01 16:35:26-05,2024-11-01,803,2811880_13111,4573,STOPPED_AT,5,30.371244,-97.72698,0,
5061,2024-11-01 16:35:41-05,2024-11-01,803,2811880_13111,4574,IN_TRANSIT_TO,6,30.3706,-97.72712,11.85,192.8
5061,2024-11-01 16:35:56-05,2024-11-01,803,2811880_13111,4574,IN_TRANSIT_TO,6,30.36875,-97.727615,14.89,192.6
5061,2024-11-01 16:36:11-05,2024-11-01,803,2811880_13111,4574,IN_TRANSIT_TO,6,30.366922,-97.728096,13.01,193.1
5061,2024-11-01 16:36:26-05,2024-11-01,803,2811880_13111,4574,IN_TRANSIT_TO,6,30.36499,-97.7286,15.07,192.9
5061,2024-11-01 16:36:46-05,2024-11-01,803,2811880_13111,4574,STOPPED_AT,6,30.363855,-97.7289,0,
5061,2024-11-01 16:36:56-05,2024-11-01,803,2811880_13111,4574,STOPPED_AT,6,30.363703,-97.728935,6.39,193.6
5061,2024-11-01 16:37:11-05,2024-11-01,803,2811880_13111,4574,STOPPED_AT,6,30.36346,-97.72901,0,
5061,2024-11-01 16:37:26-05,2024-11-01,803,2811880_13111,5849,IN_TRANSIT_TO,7,30.36288,-97.72914,11.62,193
5061,2024-11-01 16:37:41-05,2024-11-01,803,2811880_13111,5849,IN_TRANSIT_TO,7,30.361076,-97.729614,14.71,192.6
5061,2024-11-01 16:38:01-05,2024-11-01,803,2811880_13111,5849,IN_TRANSIT_TO,7,30.35842,-97.73031,14.31,192
5061,2024-11-01 16:38:11-05,2024-11-01,803,2811880_13111,5849,IN_TRANSIT_TO,7,30.357265,-97.730606,11.67,192.8
5061,2024-11-01 16:38:31-05,2024-11-01,803,2811880_13111,5849,IN_TRANSIT_TO,7,30.35666,-97.730774,0,
